DishName,Rating,ReviewCount,Submitter,MadeIt,Servings,Calories,PrepTime,CookTime,Totaltime,Ingredients,Directions
Quick Lemon Poppy Seed Bread,4.729166508,117,Marian Collins,25,20,199,,,,"['1 (18.25 ounce) package lemon cake mix', '4 eggs', '1/2 cup vegetable oil', '1 (3 ounce) package instant lemon pudding mix', '1 cup water', '1/4 cup poppy seeds']","['Preheat oven to 350 degrees F (175 degrees C). Grease and flour 2 - 8x4 inch loaf pans.', 'In a large bowl, mix together the cake mix, eggs, oil, pudding mix, water, and poppy seeds.  Spread batter into two greased 8x4 inch loaf pans.', 'Bake at 350 degrees F (175 degrees C) for 25 minutes or until a toothpick inserted into the cake comes out clean.', '']"
Chocolate Wave Zucchini Bread,4.627906799,208,Lisa Perry,205,12,263,,,,"['1/3 cup shortening', '1 1/3 cups white sugar', '2 eggs', '1 1/2 cups grated zucchini', '1/3 cup water', '1 teaspoon vanilla extract', '1 2/3 cups all-purpose flour', '1 teaspoon baking soda', '1/2 teaspoon salt', '1/4 teaspoon baking powder', '1 teaspoon pumpkin pie spice', '1/3 cup chopped walnuts', '3 tablespoons unsweetened cocoa powder', '1/3 cup mini semi-sweet chocolate chips']","['Preheat oven to 350 degrees F (175 degrees C).  Grease one 9 x 5 inch loaf pan.', 'In a large bowl, cream shortening and sugar together.  Mix in eggs.  Add zucchini, water, and vanilla; stir.  Blend in flour, baking soda, salt , baking powder, and pumpkin pie spice.  Stir in nuts.', 'Divide batter in half, and add cocoa powder and chocolate chips to one of the halves.  Pour plain batter into bottom of the loaf pan.  Pour chocolate batter on top of plain batter.', 'Bake until wooden pick inserted into center comes out clean, about 1 hour.  Cool 10 minutes, and remove from pan.  Store in refrigerator.', '']"
Wheat and Barley Bread,4.461538315,12,Star Pooley,1,12,185,1 h 10 m,45 m,1 h 55 m,"['3/4 cup wheat and barley nugget cereal (e.g. Grape-Nuts��)', '1 1/4 cups buttermilk', '1 egg', '3/4 cup white sugar', '1 teaspoon baking soda', '1 teaspoon salt', '2 cups all-purpose flour', '2 tablespoons melted shortening']","['In a small bowl, soak grape nuts in buttermilk for 1 hour.', 'In a large bowl, combine buttermilk mixture, sugar, salt, egg, and baking soda.  Stir until sugar dissolves.  Mix in the melted shortening and the flour.  Pour batter into a greased and floured 9 x 5 inch loaf pan.', 'Bake at 350 degrees F (175 degrees C) for about 45 minutes.  Cool.', '']"
Mall Pretzels,4.611227989,1140,Jeannie Yee,442,12,182,30 m,20 m,3 h,"['1 (.25 ounce) package active dry yeast', '2 tablespoons brown sugar', '1 1/8 teaspoons salt', '1 1/2 cups warm water (110 degrees F/45 degrees C)', '3 cups all-purpose flour', '1 cup bread flour', '2 cups warm water (110 degrees F/45 degrees C)', '2 tablespoons baking soda', '2 tablespoons butter, melted', '2 tablespoons coarse kosher salt']","['In a large mixing bowl, dissolve the yeast, brown sugar and salt in 1 1/2 cups warm water. Stir in flour, and knead dough on a floured surface until smooth and elastic, about 8 minutes. Place in a greased bowl, and turn to coat the surface.  Cover, and let rise for one hour.', 'Combine 2 cups warm water and baking soda in an 8 inch square pan. Line 6 baking sheets with parchment paper.', 'After dough has risen, cut into 12 pieces. Roll each piece into a 3 foot rope, pencil thin or thinner. Twist into a pretzel shape, and dip into the baking soda solution.  Place onto parchment covered baking sheets, and let rise 15 to 20 minutes.', 'Preheat an oven to 450 degrees F (230 degrees C).', 'Bake in the preheated oven for 8 to 10 minutes, or until golden brown. Brush with melted butter, and sprinkle with coarse salt, garlic salt or cinnamon sugar.', '']"
Tea Biscuits,4.431279659,353,Debbie,253,20,96,,,,"['2 cups all-purpose flour', '4 teaspoons baking powder', '1 teaspoon salt', '1/2 cup shortening', '3/4 cup milk']","['Preheat oven to 400 degrees F (205 degrees C).  Grease a baking sheet.', 'Combine flour, baking powder, and salt.  Cut shortening in until mixture has a fine crumb texture.  Stir in milk with a fork to make a soft dough. Knead 8 to 10 times, and then roll out to a thickness of at least 1/2 inch.  Cut into rounds with a cookie or biscuit cutter.  Place on cookie sheet, and allow to rest for a few minutes.', 'Bake for 12 to 15 minutes.  Serve warm.', '']"
English Muffin Loaves,4.621621609,61,Linda Matos,20,24,130,,,,"['2 (.25 ounce) packages active dry yeast', '6 cups all-purpose flour', '1 tablespoon white sugar', '2 cups milk', '1/4 teaspoon baking soda', '1/2 cup water', '1 teaspoon salt', '2 tablespoons cornmeal']","['In a small saucepan, heat the milk and water until very warm.', 'Combine 3 cups flour, yeast, sugar, salt, and soda in a large bowl.   Add  the warm milk and water, and beat well.  Stir in enough of the remaining flour to make a stiff batter.  Spoon into two 9 x 5 inch loaf pans that have been greased and dusted with the cornmeal.  Cover, and let rise in a warm place for 45 minutes.', 'Bake at 400 degrees F (205 degrees C) for 25 minutes.  Remove from pans immediately, and let cool.', '']"
Nonfat Sour Cream Cake Bread,4.444444656,7,Julia Oh,5,12,164,,,,"['3/4 cup fat free sour cream', '1/2 teaspoon salt', '3 tablespoons light brown sugar', '2 egg whites', '1/2 cup skim milk', '1 tablespoon vanilla extract', '3 1/4 cups unbleached all-purpose flour', '2 1/4 teaspoons active dry yeast']","['Combine sour cream, sugar, egg whites, milk, vanilla, salt, and yeast in medium bowl. Mix until smooth.', 'Pile the flour in a large flat pan and make a well in the center. Pour the sour cream mixture into the center and draw in the flour until a soft dough is formed. Gradually work in a little flour until the dough is pliant and soft but not sticky. Knead until smooth but add a minimum of flour to keep the dough from sticking.', 'Place in a pan and leave to rise until doubled in bulk. Beat down, knead briefly, then place in a lightly sprayed 9 inch bundt cake pan. Leave to rise until doubled in bulk.', 'Bake bread in a preheated 425 degrees F (220 degrees C) oven for 25 minutes. Reduce the oven temperature to 350 degrees F (175 degrees C) and bake until golden brown on top. If necessary, cover with foil to keep from darkening. Immediately remove from cake pan and place on rack to cool.', '']"
Ciabatta,4.556962013,199,Benoit Hogue,125,15,108,20 m,20 m,1 d 1 h,"['For Sponge (Biga):', '1/8 teaspoon active dry yeast', '2 tablespoons warm water (110 degrees F/45 degrees C)', '1/3 cup warm water', '1 cup bread flour', 'For Bread:', '1/2 teaspoon active dry yeast', '2 tablespoons warm milk (110 degrees F/45 degrees C)', '2/3 cup warm water', '1 tablespoon olive oil', '2 cups bread flour', '1 1/2 teaspoons salt']","['To Make Sponge: In a small bowl stir together 1/8 teaspoon of the yeast and the warm water and let stand 5 minutes, or until creamy. In a bowl stir together yeast mixture, 1/3 cup of the water, and 1cup of the bread flour. Stir 4 minutes, then over bowl with plastic wrap. Let sponge stand at cool room temperature for at least 12 hours and up to 1 day.', 'To Make Bread: In a small bowl stir together yeast and milk and let stand 5 minutes, or until creamy. In bowl of a standing electric mixer fitted with dough hook blend together milk mixture, sponge, water, oil, and flour at low speed until flour is just moistened; add salt and mix until smooth and elastic, about 8 minutes. Scrape dough into an oiled bowl and cover with plastic wrap.', 'Let dough rise at room temperature until doubled in bulk, about 1 1/2 hours. (Dough will be sticky and full of air bubbles.) Turn dough out onto a well-floured work surface and cut in half. Transfer each half to a parchment sheet and form into an irregular oval about 9 inches long. Dimple loaves with floured fingers and dust tops with flour. Cover loaves with a dampened kitchen towel. Let loaves rise at room temperature until almost doubled in bulk, 1 1/2 to 2 hours.', 'At least 45 minutes before baking ciabatta, put a baking stone on oven rack in lowest position in oven and preheat oven to 425  F (220 degrees C).', 'Transfer 1 loaf on its parchment to a rimless baking sheet with a long side of loaf parallel to far edge of baking sheet. Line up far edge of baking sheet with far edge of stone or tiles, and tilt baking sheet to slide loaf with parchment onto back half of stone or tiles. Transfer remaining loaf to front half of stone in a similar manner. Bake ciabatta loaves 20 minutes, or until pale golden. Cool loaves on a wire rack.', '']"
Poppy Seed Bread II,4.666666508,12,Pat Heldenbrand,1,30,198,20 m,1 h,1 h 20 m,"['3 cups all-purpose flour', '1 1/2 teaspoons salt', '1 1/2 teaspoons baking powder', '3 eggs', '1 1/2 cups milk', '1 cup vegetable oil', '2 1/4 cups white sugar', '1 1/2 tablespoons poppy seeds', '2 teaspoons vanilla extract', '2 teaspoons lemon extract', '2 teaspoons butter flavored extract', '1/4 cup orange juice', ""3/4 cup confectioners' sugar""]","['Preheat oven to 350 degrees F (175 degrees C). Grease two 8x4 inch loaf pans.', 'Mix the flour, salt, baking powder, eggs, milk, vegetable oil, white sugar, poppy seeds, 1 1/2 teaspoons of the vanilla, lemon and butter flavoring. Stir until just combined and pour the batter into the prepared pans.', 'Bake at 350 degrees F (175 degrees C) for 1 hour. Cool for 5 minutes then poke holes in the top of the bread with a meat fork and pour glaze over tops.', ""To Make Glaze: Mix the orange juice, confectioner's sugar, and the remaining 1/2 teaspoon each of the vanilla, butter and lemon flavorings. Use immediately to pour over the still warm loaves."", '']"
Sourdough Bread II,3.571428537,11,ONIONTWO,8,30,149,30 m,1 h 40 m,4 h 40 m,"['2 1/4 teaspoons active dry yeast', '1/2 cup warm water (110 degrees F/45 degrees C)', '2 cups bread flour', '2 cups warm water', '1 tablespoon white sugar', '1 teaspoon salt', '2 1/4 teaspoons active dry yeast', '1/2 cup warm water (110 degrees F/45 degrees C)', '1 1/2 cups sourdough starter', '2 teaspoons white sugar', '1 1/2 teaspoons salt', '1 1/2 teaspoons baking soda', '5 1/2 cups bread flour', '1 tablespoon butter, melted']","['In a medium bowl, dissolve 2 1/4 teaspoons yeast in 1/2 cup warm water. Stir in 2 cups flour, 2 cups lukewarm water, 1 tablespoon sugar, and 1 teaspoon salt.  Beat smooth with rotary beater. Let stand 3 to 5 days uncovered at room temperature stirring 2 or 3 times a day. Cover at night to prevent drying.', 'In a large bowl, dissolve 2 1/4 teaspoons yeast in 1/2 cup warm water. Blend in starter batter, 2 teaspoons sugar, and 1 1/2 teaspoons salt.  Add 3 1/2 cups flour, and beat with a rotary beater for 3 to 4 minutes. Cover, and let rise till double in bulk.', 'Mix soda with remaining flour; gradually mix into risen dough, adding enough to make the dough stiff.   Turn out onto a floured board, and knead 8 to 10 minutes.  Shape into one large or 2 medium loaves, and place on a lightly greased baking sheet. With a sharp knife, make diagonal cuts across top of dough.  Let rise till double.', 'Bake at 400 degrees F (205 degrees C). Remove medium loaves after 35 to 40 minutes, large loaf after 40 to 45 minutes. Brush with melted butter and let cool before serving.', '']"
Unbelievable Rolls,4.437577248,663,SHERLIE,623,16,235,30 m,15 m,2 h 15 m,"['3/4 cup milk', '3/4 cup water', '1/2 cup white sugar', '1 teaspoon salt', '2 eggs', '5 teaspoons active dry yeast', '5 cups all-purpose flour', '1/2 cup margarine, melted']","['In a medium saucepan over medium heat, warm milk, water, sugar and salt.   Remove from heat, and mix in the eggs and yeast.', 'Measure flour into a large bowl. Make a well in the flour, and pour milk mixture into it. Do not stir. Cover with a lid, and let stand for 20 to 30 minutes.', 'Pour melted margarine into flour, and mix well. Add more flour if too sticky.  Knead lightly. Cover, and let rise for 20 to 30 minutes.', 'Shape the dough into rolls, and place on a baking sheet. Let rise again for 20 to 30 minutes.', 'Bake rolls in a preheated 400 degrees F (205 degrees C) oven for 15 minutes, or until done.', '']"
Tasty Buns,4.68530035,413,Charlene Kaunert,193,12,300,20 m,15 m,1 h 20 m,"['5 cups all-purpose flour', '2 (.25 ounce) packages dry yeast', '1 cup milk', '3/4 cup water', '1/2 cup vegetable oil', '1/4 cup white sugar', '1 teaspoon salt']","['Stir together 2 cups flour and the yeast. In a separate bowl, heat milk, water, oil, sugar and salt to lukewarm in microwave. Add all at once to the flour mixture, and beat until smooth, about 3 minutes.', 'Mix in enough flour to make a soft dough, 2 to 3 cups. Mix well. Dust a flat surface with flour, turn dough out onto floured surface, and let rest under bowl for about 10 minutes.', 'Shape dough into 12 slightly flat balls, and place on greased baking sheet to rise until doubled in size.', 'Bake in a preheated 400 degrees F (200 degrees C) oven for 12 to 15 minutes.', '']"
Special Pumpkin Bread,4.473684311,15,Pat Heldenbrand,3,24,292,10 m,1 h,1 h 10 m,"['1 1/4 cups vegetable oil', '2 cups pumpkin puree', '1 cup packed brown sugar', '1 cup white sugar', '2 (3.5 ounce) packages instant coconut cream pudding mix', '1 teaspoon baking soda', '5 eggs', '2 cups all-purpose flour', '1 teaspoon salt', '1 teaspoon ground cinnamon', '1 cup chopped walnuts (optional)']","['In a large bowl, mix together oil, pumpkin, sugars, pudding mixes, cinnamon, and salt.  Slightly beat the eggs, and mix into the batter.  Mix in flour and baking soda until just combined.  Stir in nuts, if desired.  Spread batter into two greased and floured 9 x 5 inch loaf pans.', 'Bake at 325 degrees F (165 degrees C) for 1 hour, or until a tester inserted in the center comes out clean.', '']"
Lemon Bread,4.469798565,122,Gwynne Comstock,72,12,261,15 m,1 h,1 h 20 m,"['6 tablespoons shortening', '1 cup white sugar', '2 eggs', '1/2 cup milk', '1 1/2 cups all-purpose flour', '1/2 teaspoon salt', '1 teaspoon baking powder', '1 teaspoon lemon zest', '1/2 cup chopped walnuts', '1/2 cup white sugar', '1 lemon, juiced']","['Whisk together flour, salt, and baking powder.', 'In a large bowl, cream shortening, 1 cup sugar, and eggs together until light and fluffy.  Add milk alternately with flour mixture in two parts; mix well.  Stir in grated lemon rind and nuts.  Pour batter into greased and floured 9 x 5 inch loaf pan.', 'Bake at 350 degrees F (175 degrees C) for 60 minutes.  Allow bread to cool in the pan for 5 minutes.', 'Mix together 1/2 cup sugar and the juice of one lemon to make a glaze.  Remove bread from pan.  Pour glaze over warm bread.', '']"
Pumpkin Coconut Bread,4.716216087,62,Donna Abbott,24,24,296,10 m,1 h,1 h 10 m,"['2 cups white sugar', '1 cup packed brown sugar', '1 cup vegetable oil', '4 eggs', '1 (15 ounce) can pumpkin puree', '3 1/2 cups all-purpose flour', '2 teaspoons baking soda', '2 teaspoons salt', '1/2 teaspoon ground cloves', '1 1/2 teaspoons ground cinnamon', '1 teaspoon ground allspice', '1 teaspoon ground nutmeg', '2/3 cup water', '1 cup flaked coconut', '1/2 cup chopped walnuts']","['Preheat oven to 350 degrees F (175 degrees C).  Grease and flour two 9 x 5 inch loaf pans.', 'Mix together sugars, oil, and eggs.  Mix in pumpkin.  Add flour, salt, soda, and spices, and then water.  Stir together until just moistened.  Stir in coconut and nuts.  Pour batter into prepared pans.', 'Bake for 60 minutes, or until tester inserted in the center comes out clean.', '']"
Simple Whole Wheat Bread,4.831348419,1665,Nita Crabb,1320,36,143,20 m,30 m,3 h,"['3 cups warm water (110 degrees F/45 degrees C)', '2 (.25 ounce) packages active dry yeast', '1/3 cup honey', '5 cups bread flour', '3 tablespoons butter, melted', '1/3 cup honey', '1 tablespoon salt', '3 1/2 cups whole wheat flour', '2 tablespoons butter, melted']","['In a large bowl, mix warm water, yeast, and 1/3 cup honey.  Add 5 cups white bread flour, and stir to combine.  Let set for 30 minutes, or until big and bubbly.', 'Mix in 3 tablespoons melted butter, 1/3 cup honey, and salt.  Stir in 2 cups whole wheat flour.  Flour a flat surface and knead with whole wheat flour until not real sticky - just pulling away from the counter, but still sticky to touch.  This may take an additional 2 to 4 cups of whole wheat flour.  Place in a greased bowl, turning once to coat the surface of the dough.  Cover with a dishtowel.  Let rise in a warm place until doubled.', 'Punch down, and divide into 3 loaves.  Place in greased 9 x 5 inch loaf pans, and allow to rise until dough has topped the pans by one inch.', 'Bake at 350 degrees F (175 degrees C) for 25 to 30 minutes; do not overbake.  Lightly brush the tops of loaves with 2 tablespoons melted butter or margarine when done to prevent crust from getting hard.  Cool completely', '']"
Pizza Dough I,4.442015648,2149,Gudny Bjorg Kjaerbo,581,15,112,10 m,25 m,35 m,"['3 cups all-purpose flour', '1 (.25 ounce) package active dry yeast', '2 tablespoons vegetable oil', '1 teaspoon salt', '1 tablespoon white sugar', '1 cup warm water (110 degrees F/45 degrees C)']","['Combine flour, salt, sugar, and yeast in a large bowl.  Mix in oil and warm water.  Spread out on a large pizza pan.  Top as desired.', 'Bake at 375 degrees C (190 degrees C) for 20 to 25 minutes.', '']"
Cinnamon Raisin Bread I,4.647999763,607,Faye Salisbury,258,36,182,30 m,45 m,3 h 20 m,"['1 1/2 cups milk', '1 cup warm water (110 degrees F/45 degrees C)', '2 (.25 ounce) packages active dry yeast', '3 eggs', '1/2 cup white sugar', '1 teaspoon salt', '1/2 cup margarine, softened', '1 cup raisins', '8 cups all-purpose flour', '2 tablespoons milk', '3/4 cup white sugar', '2 tablespoons ground cinnamon', '2 tablespoons butter, melted']","['Warm the milk in a small saucepan until it bubbles, then remove from heat.  Let cool until lukewarm.', 'Dissolve yeast in warm water, and set aside until yeast is frothy.  Mix in eggs, sugar, butter or margarine, salt, and raisins.  Stir in cooled milk.  Add the flour gradually to make a stiff dough.', 'Knead dough on a lightly floured surface for a few minutes.  Place in a large, greased, mixing bowl, and turn to grease the surface of the dough.  Cover with a damp cloth.  Allow to rise until doubled.', 'Roll out on a lightly floured surface into a large rectangle 1/2 inch thick.  Moisten dough with 2 tablespoons milk.  Mix together 3/4 cup sugar and 2 tablespoons cinnamon, and sprinkle mixture on top of the moistened dough.  Roll up tightly; the roll should be about 3 inches in diameter.  Cut into thirds, and tuck under ends.  Place loaves into well greased 9 x 5 inch pans.  Lightly grease tops of loaves.  Let rise again for 1 hour.', 'Bake at 350 degrees F (175 degrees C) for 45 minutes, or until loaves are lightly browned and sound hollow when knocked.  Remove loaves from pans, and brush with melted butter or margarine.  Let cool before slicing.', '']"
Sourdough Drop Biscuits,3.829268217,37,Glenda,12,18,81,5 m,15 m,20 m,"['1 cup sourdough starter', '1/3 cup vegetable oil', '3/4 teaspoon baking soda', '1/4 teaspoon salt', '1 cup all-purpose flour']","['Sift flour, salt, and soda together into a large bowl.  Mix starter with oil, and stir into the sifted ingredients.  Drop dough by tablespoons onto an ungreased baking sheet.', 'Bake at 350 degrees F (175 degrees C) for 10 to 15 minutes.  Serve warm.', '']"
Milk and Honey Loaf,4.199999809,5,Denise Sullivan,0,36,146,30 m,30 m,5 h,"['2 (.25 ounce) packages active dry yeast', '1/2 cup honey', '3 cups warm water (110 degrees F/45 degrees C)', '2 teaspoons salt', '1/2 cup butter, melted', '1 cup rye flour', '3 cups whole wheat flour', '5 cups unbleached all-purpose flour']","['In a large bowl, dissolve yeast in warm water.  Allow yeast to sit until it begins to form bubbles.', 'Add honey, butter, and salt to the yeast mixture.  Stir in flours one cup at a time, beginning with the rye.  When the dough begins to stiffen, turn it out on to a well floured surface.  Knead for 5 minutes, adding flour as needed.  Place into a greased bowl, and turn once to oil the surface of the dough.  Cover with a damp cloth.  Allow to rise in a warm place until doubled, approximately 1 to 2 hours.', 'Punch down dough, and knead again until smooth.  Split into 3 loaves, and knead for a few more minutes.  Place loaves in three oiled pans.  Allow to rise until double, 1 to 2 hours.', 'Bake at 350 degrees F (175 degrees C) for 20 to 30 minutes, or until golden brown.  Cool in pans for 10 minutes, and then turn out onto counter or wire rack to completely cool.', '']"
